iter	Passed	Remaining
0	0	46
1	0	44
2	1	42
3	1	38
4	1	37
5	2	36
6	2	35
7	3	35
8	3	35
9	3	34
10	4	34
11	4	34
12	5	34
13	5	34
14	6	34
15	6	34
16	6	33
17	7	33
18	7	32
19	8	32
20	8	31
21	8	31
22	9	31
23	9	30
24	10	30
25	10	29
26	10	29
27	11	28
28	11	28
29	11	27
30	12	27
31	12	27
32	13	26
33	13	26
34	13	25
35	14	25
36	14	24
37	15	24
38	15	24
39	15	23
40	16	23
41	16	22
42	16	22
43	17	21
44	17	21
45	18	21
46	18	20
47	19	20
48	19	20
49	19	19
50	20	19
51	20	19
52	21	18
53	21	18
54	22	18
55	22	17
56	22	17
57	23	16
58	23	16
59	24	16
60	24	15
61	25	15
62	25	15
63	26	14
64	26	14
65	26	13
66	27	13
67	27	13
68	28	12
69	28	12
70	28	11
71	29	11
72	29	10
73	30	10
74	30	10
75	30	9
76	31	9
77	31	8
78	32	8
79	32	8
80	33	7
81	33	7
82	34	6
83	34	6
84	34	6
85	35	5
86	35	5
87	36	4
88	36	4
89	36	4
90	37	3
91	37	3
92	37	2
93	38	2
94	38	2
95	39	1
96	39	1
97	39	0
98	40	0
99	40	0
